AX,D365
111010,100010
111050,101010
121010,110010
121110,110020
121150,111020
122210,110040
122250,111040
122310,110050
122350,111050
122410,110060
122450,111060
122510,110060
122550,111060
122610,110030
122650,111030
122710,110070
122750,111070
122810,110080
122850,111080
122900,110090
122901,110095
131002,120010
131003,120020
131004,120030
131005,120040
131015,120050
131021,120060
131022,120070
131024,131010
131035,120080
131037,120090
131038,120100
132001,130010
132002,130020
132003,130030
132004,130040
132006,130050
132007,130060
132015,130070
132017,131030
132019,130080
132021,130090
132022,130100
132035,130110
132037,130120
132038,130130
132101,130510
132102,130520
132103,130530
132104,130540
132106,130550
132107,130560
132115,130570
132119,130580
132121,130590
132122,130600
132234,130610
133005,131020
141010,140010
141015,140020
142010,141010
142015,141020
142016,141030
142020,141040
142025,141050
142030,141060
142035,141060
142040,141070
142045,141080
142070,141090
143020,142010
143030,142020
144040,143010
144045,143020
144065,143030
144067,143050
151005,150010
151010,150020
151015,150030
151018,150040
151030,151010
151040,151050
151050,151020
152012,152020
152013,152030
152014,152040
152015,152050
152018,152060
152020,152070
152040,152080
152041,152090
153010,153020
153011,153010
153012,153040
153013,153050
153015,153060
153016,153070
153017,153080
153018,153090
153019,153095
153030,154020
153040,153100
153090,153040
153100,153110
153101,153120
153103,153120
153104,153160
154110,154010
154115,153150
154120,151030
154125,151030
161050,160010
161051,160130
161100,160020
161154,160030
161156,160040
161157,160050
171010,200010
171020,200020
171030,200010
171040,200010
171045,200010
171046,200010
171050,200099
171060,200030
171099,200099
172010,201020
172020,201030
172030,201010
172040,201040
172060,201050
172090,201060
172110,201010
172130,201010
172140,201010
172150,201070
172160,201010
172170,201080
172230,201090
173010,201100
173030,201010
173050,202010
173051,202020
173052,202030
173053,202040
173054,202050
173060,202060
173063,202070
173064,202080
173065,202090
173066,202100
173080,202060
173100,201110
173115,203010
173170,202110
173175,202120
173181,202130
173182,202140
173183,202160
173184,202170
174010,203020
174055,203030
174056,203040
174083,203050
174085,203060
174086,203070
174087,203080
174089,203090
174118,203030
174120,203100
174150,203030
174160,203110
174170,203120
175053,202150
175055,203130
175056,203140
176083,204010
176084,204020
176100,204030
176150,204040
180010,210010
180020,210020
190010,220010
190020,220020
190030,220030
190040,220040
190050,220070
190060,220050
190070,220060
310010,300010
310020,300020
310025,300030
310030,300040
310041,300050
322015,301010
410010,350010
411010,350020
412010,350030
413010,400010
420020,350040
450010,400010
450020,400020
510010,500010
510015,500020
510020,500030
510025,500040
510030,520040
510040,500900
510045,500910
521010,520010
521011,520020
521015,520030
521020,510010
521025,510020
521030,510030
521035,510040
521040,510050
521046,510060
521047,510070
521050,520050
521060,520060
521070,550010
531040,520070
531045,520080
531050,520100
540005,530010
540010,530020
540015,530030
540020,550020
540025,530040
540030,530050
550010,540010
550015,540020
550030,540030
550040,540040
560010,550030
560020,520090
560030,510080
560031,510090
560032,510100
560033,510110
560034,510120
610020,600010
610030,610010
610035,600020
610040,610020
610045,610030
610050,600030
610060,600040
610070,600050
610080,600060
620015,620010
620025,620030
620030,620040
620035,620050
620040,620060
620050,620070
620055,620080
620060,620090
620065,620100
621010,630010
621020,630020
621035,630030
621043,630040
621055,630050
621056,630060
621070,630070
621075,630080
621080,630090
621085,630100
621090,630110
710010,700010
710020,700020
710021,700030
710030,700040
710035,700050
710040,700060
710045,700070
710050,700080
710051,700090
710052,700100
710055,700110
710060,700120
710061,700130
710070,700140
710090,700900
710091,700910
711010,705010
711020,705080
711030,705040
711040,705060
711050,705020
711060,705050
711070,705070
711080,705030
711100,705090
711120,705100
712010,710010
712015,710010
712020,730070
712030,710020
712035,710020
712040,710040
712050,710030
712060,710030
712070,720040
712080,720040
712090,745160
712110,715020
712120,715030
712130,715030
712140,715050
712150,715040
712160,715060
713010,720030
713020,720030
713030,720030
713040,720030
713050,720030
713055,720030
713070,720030
713080,720030
713085,720030
713090,720030
713100,720030
713110,720030
713120,720030
713130,720030
713140,720030
714010,730010
714020,730020
715010,720050
715011,720060
715012,720070
716010,725010
716020,725020
716030,725050
716040,725030
716050,725040
716060,725020
716070,725040
716080,725060
716090,725070
717030,730070
717050,730030
717070,730040
718010,760010
718020,760020
718040,760030
718060,760090
730020,745080
730030,730050
730040,730060
730060,730070
730080,745090
730090,730080
730130,745160
730140,730090
730150,730100
730160,730120
731010,700150
731015,700160
731025,700170
731040,700250
731045,700180
731050,700190
731055,700200
731060,700210
731065,700220
731075,700230
731090,700240
732010,745130
732020,745060
732030,745060
732040,745130
733020,745160
734010,745190
734020,745180
734030,745200
734070,745140
734090,745150
735050,745170
735060,745200
735070,745040
735085,745050
735090,745080
735091,745080
735092,745080
735093,745080
735094,745080
735095,745080
735096,745080
735097,745080
735100,745090
735101,745090
735102,745090
735103,745090
735104,745090
735105,745090
735106,745090
735107,745090
735110,730130
735132,730130
735140,730140
735150,745110
735160,745130
735170,745070
735172,715030
735173,745160
735190,745120
735205,745210
735240,745160
736030,745030
736040,745020
736050,745130
736060,745100
737010,760100
737020,760110
737023,760120
737024,760120
737025,760120
737040,760130
737060,760170
737095,760140
737100,760150
737110,760160
737120,760160
737130,760150
750020,770010
750025,770010
750040,770020
750070,770030
750105,775010
750115,775020
750125,775030
750130,775040
750140,775050
750141,775050
750142,775050
750143,775050
751010,780010
751015,780020
751020,780030
751025,780040
751030,780050
751035,780060
751040,780070
751045,780080
751046,780090
751047,780100
751050,780110
751055,780120
751060,780130
751065,780140
751070,780150
751080,780160
751085,780170
751090,780180
751091,780190
751092,780200
751095,780180
751110,780210
751115,780220
751120,780230
751123,780240
751125,780250
751135,780260
751150,780280
751155,780280
751160,780280
751175,780280
751185,780270
751190,780280
760015,790070
760025,790050
760035,790010
760040,790030
760055,790050
760060,790040
760065,790020
760070,790050
760075,790060
770000,735010
770020,735020
770040,735030
770050,735040
801000,800030
801010,800020
801020,800010
801030,800020
801060,800020
801070,800020
801080,800020
900110,901010
900320,902010
910010,810010
911010,910010
911020,910020
920035,920010
920040,920030
930040,930020
940055,940010
940060,940020
940070,940020
