AX,D365,NAME
ALPEN,ALP,Alpen
ASH,RFL,Ryecroft
IT,BL-SITE,Generic BL Site
CBW,CBY-WHSE,CORBY WAREHOUSE
J,BL-WHSE,BURTON LATIMER WAREHOUSE
K,BL-WHSE,BURTON LATIMER WAREHOUSE
L,BL-WHSE,BURTON LATIMER WAREHOUSE
M,BL-WHSE,BURTON LATIMER WAREHOUSE
BOK,COMAN,CO MANUFACTURERS
MCH,COMAN,MCH
MSD,COMAN,MCH
SPC,COMAN,CO MANUFACTURERS
Scrap,BL-WHSE,Scrap
CB1,CBY-EX,CORBY EXTRUDED
CB2,CBY-FLK,CORBY FLAKE
CB3,CBY-RB,CORBY READY BREK
9110,7500,FX
8000,9000,Corporate
8100,9000,Corporate
8200,9000,Corporate
8300,9000,Corporate
9100,9000,Corporate
9200,9000,Corporate
9300,9000,Corporate
9400,9000,Corporate
9500,9000,Corporate
9600,9000,Corporate
9620,9000,Corporate
2350,2200
2450,2400
3720,3710
5325,5375
5350,5500
