TableName,DataAreaID,OldValue,NewValue
AssetBook,rfl,GEN,
AssetBook,rfl,USGAAP,
AssetBook,wbx,GEN,IFRS
AssetBook,wbx,USGAAP,USGAAP
AssetCondition,wbx,Capacity,
AssetCondition,wbx,Cars,
AssetCondition,wbx,DataTakeon,
AssetCondition,wbx,Environment,
AssetCondition,wbx,Growth,
AssetCondition,wbx,Improve,
AssetCondition,wbx,IT,
AssetCondition,wbx,Other,
AssetCondition,wbx,Replace,Replace
AssetCondition,wbx,Safety,
AssetCondition,wbx,Vehicles,
AssetGroup,wbx,BUILDING,BUILDINGS
AssetGroup,wbx,CARS,
AssetGroup,wbx,CLOUDSOFTW,
AssetGroup,wbx,FIXTURES,FIXTURES
AssetGroup,wbx,HARDWARE,HARDWARE
AssetGroup,wbx,LAND,LAND
AssetGroup,wbx,LEASEHOLD,
AssetGroup,wbx,PLANT,PLANT
AssetGroup,wbx,SOFTWARE,SOFTWARE
AssetGroup,wbx,TRADEMARK,
AssetGroup,wbx,VEHICLES,VEHICLES
AssetLocation,wbx,1,
AssetLocation,wbx,10,
AssetLocation,wbx,100,
AssetLocation,wbx,11,
AssetLocation,wbx,12,
AssetLocation,wbx,13,
AssetLocation,wbx,14,
AssetLocation,wbx,15,
AssetLocation,wbx,16,
AssetLocation,wbx,17,
AssetLocation,wbx,18,
AssetLocation,wbx,19,
AssetLocation,wbx,2,
AssetLocation,wbx,20,
AssetLocation,wbx,21,
AssetLocation,wbx,22,
AssetLocation,wbx,23,
AssetLocation,wbx,24,
AssetLocation,wbx,25,
AssetLocation,wbx,26,
AssetLocation,wbx,27,
AssetLocation,wbx,28,
AssetLocation,wbx,29,
AssetLocation,wbx,3,
AssetLocation,wbx,30,
AssetLocation,wbx,31,
AssetLocation,wbx,32,
AssetLocation,wbx,33,
AssetLocation,wbx,34,
AssetLocation,wbx,35,
AssetLocation,wbx,36,
AssetLocation,wbx,37,
AssetLocation,wbx,38,
AssetLocation,wbx,39,
AssetLocation,wbx,4,
AssetLocation,wbx,40,
AssetLocation,wbx,41,
AssetLocation,wbx,42,
AssetLocation,wbx,43,
AssetLocation,wbx,45,
AssetLocation,wbx,46,
AssetLocation,wbx,47,
AssetLocation,wbx,48,
AssetLocation,wbx,49,
AssetLocation,wbx,5,
AssetLocation,wbx,50,
AssetLocation,wbx,51,
AssetLocation,wbx,52,
AssetLocation,wbx,53,
AssetLocation,wbx,54,
AssetLocation,wbx,55,
AssetLocation,wbx,56,
AssetLocation,wbx,6,
AssetLocation,wbx,60,
AssetLocation,wbx,61,
AssetLocation,wbx,62,
AssetLocation,wbx,63,
AssetLocation,wbx,64,
AssetLocation,wbx,65,
AssetLocation,wbx,66,
AssetLocation,wbx,67,
AssetLocation,wbx,7,
AssetLocation,wbx,70,
AssetLocation,wbx,71,
AssetLocation,wbx,72,
AssetLocation,wbx,73,
AssetLocation,wbx,75,
AssetLocation,wbx,76,
AssetLocation,wbx,77,
AssetLocation,wbx,78,
AssetLocation,wbx,79,
AssetLocation,wbx,8,
AssetLocation,wbx,80,
AssetLocation,wbx,82,
AssetLocation,wbx,83,
AssetLocation,wbx,84,
AssetLocation,wbx,85,
AssetLocation,wbx,86,
AssetLocation,wbx,87,
AssetLocation,wbx,88,
AssetLocation,wbx,89,
AssetLocation,wbx,9,
AssetLocation,wbx,90,
AssetLocation,wbx,91,
AssetLocation,wbx,92,
AssetLocation,wbx,93,
AssetLocation,wbx,94,
AssetLocation,wbx,95,
AssetLocation,wbx,96,
AssetLocation,wbx,97,
AssetLocation,wbx,98,
AssetLocation,wbx,99,
BatchGroup,ibe,Manuel,Manual
BatchGroup,rfl,Batch1,ManualB
BatchGroup,rfl,RBO Batch,BO Batch
BatchGroup,wbx,Batch1,ManualB
BatchGroup,wbx,BO Batch,BO Batch
BatchGroup,wbx,BulkBatch,BO Batch
BatchGroup,wbx,UncleanedW,WheatBatch
BOMCostGroup,rfl,CENENGI,CENENGI
BOMCostGroup,rfl,CO,CO
BOMCostGroup,rfl,FG,FG
BOMCostGroup,rfl,LAB,LAB
BOMCostGroup,rfl,NOBOMCOPA,NOBOMCOPA
BOMCostGroup,rfl,NOBOMMANU,NOBOMMANU
BOMCostGroup,rfl,OHEADS,OHEADS
BOMCostGroup,rfl,PACK,PACK
BOMCostGroup,rfl,PLANTENGI,PLANTENGI
BOMCostGroup,rfl,PLANTPROD,PLANTPROD
BOMCostGroup,rfl,RM,RM
BOMCostGroup,rfl,TRAN,TRAN
BOMCostGroup,rfl,UTILITIES,UTILITIES
BOMCostGroup,wbx,CENENGI,CENENGI
BOMCostGroup,wbx,CO,CO
BOMCostGroup,wbx,FG,FG
BOMCostGroup,wbx,LAB,LAB
BOMCostGroup,wbx,NOBOMCOPA,NOBOMCOPA
BOMCostGroup,wbx,NOBOMMANU,NOBOMMANU
BOMCostGroup,wbx,OHEADS,OHEADS
BOMCostGroup,wbx,PACK,PACK
BOMCostGroup,wbx,PLANTENGI,PLANTENGI
BOMCostGroup,wbx,PLANTPROD,PLANTPROD
BOMCostGroup,wbx,RM,RM
BOMCostGroup,wbx,TRAN,TRAN
BOMCostGroup,wbx,UTILITIES,UTILITIES
CommissionCustomerGroup,wbx,Carribean,
CommissionCustomerGroup,wbx,Far East,
ContractIndicator,wbx,0,0
ContractIndicator,wbx,1,1
ContractIndicator,wbx,2,2
ContractIndicator,wbx,3,3
ContractIndicator,wbx,4,4
ContractIndicator,wbx,5,5
ContractIndicator,wbx,6,5
CostCategory,rfl,ALPEN,ALPEN
CostCategory,rfl,AP1,AP1
